10000,0.161059026,0.210907476,0.151596906,0.092254909
,,,,
20000,0.162289917,0.211364026,0.15127937,0.091820922
,,,,
30000,0.162932814,0.211599917,0.151111917,0.091595682
,,,,
40000,0.163359543,0.211756877,0.151000788,0.091445557
,,,,
50000,0.163674852,0.211872977,0.150917967,0.09133251
,,,,
60000,0.163923122,0.211964195,0.150853495,0.091245086
,,,,
70000,0.164126476,0.212039246,0.150800017,0.091171517
,,,,
80000,0.164298485,0.212102837,0.150754712,0.091109149
,,,,
90000,0.164446709,0.212157173,0.150716009,0.091056595
,,,,
100000,0.164576576,0.212205479,0.150682529,0.091010417
,,,,
110000,0.164692321,0.212248126,0.150651985,0.090968246
,,,,
120000,0.164796149,0.212286268,0.150624479,0.09093064
,,,,
130000,0.164890312,0.212321111,0.150600208,0.09089729
,,,,
140000,0.164976414,0.212352915,0.150577429,0.090865967
,,,,
150000,0.165055668,0.212382167,0.150556904,0.090837746
,,,,
160000,0.165128748,0.21240914,0.150537964,0.090811773
,,,,
170000,0.165196936,0.21243442,0.150519958,0.090786697
,,,,
180000,0.165260574,0.212457865,0.150503304,0.090763893
,,,,
190000,0.165320093,0.212479991,0.150487896,0.090742585
,,,,
200000,0.165376121,0.21250062,0.150473266,0.090722516
,,,,
210000,0.16542901,0.212520126,0.150459485,0.090703546
,,,,
220000,0.165479005,0.212538582,0.15044647,0.090685697
,,,,
230000,0.165526456,0.212556259,0.150434181,0.090668664
,,,,
240000,0.165571549,0.212572794,0.15042237,0.090652505
,,,,
250000,0.1656145,0.212588736,0.150411231,0.090637101
,,,,
260000,0.165655579,0.212603835,0.150400331,0.090622092
,,,,
270000,0.165694788,0.212618447,0.150390323,0.090608225
,,,,
280000,0.165732357,0.212632286,0.150380501,0.09059475
,,,,
290000,0.165768447,0.212645572,0.150370942,0.090581625
,,,,
300000,0.165803078,0.212658477,0.150362014,0.090569168
,,,,
310000,0.165836375,0.212670852,0.150353469,0.090557393
,,,,
320000,0.165868511,0.212682567,0.15034495,0.090545847
,,,,
330000,0.165899481,0.212694065,0.150337032,0.090534958
,,,,
340000,0.165929338,0.212705056,0.15032915,0.090524113
,,,,
350000,0.165958282,0.212715817,0.15032177,0.09051389
,,,,
360000,0.165986244,0.212726124,0.150314457,0.090503834
,,,,
370000,0.166013282,0.212736178,0.150307519,0.090494269
,,,,
380000,0.166039553,0.21274585,0.150300491,0.090484592
,,,,
390000,0.166065031,0.212755312,0.150293983,0.090475608
,,,,
400000,0.166089703,0.21276439,0.150287545,0.090466815
